iter	Passed	Remaining
959	12820	534
960	12836	520
961	12853	507
962	12870	494
963	12887	481
964	12901	467
965	12917	454
966	12933	441
967	12948	428
968	12963	414
969	12977	401
970	12990	387
971	13002	374
972	13016	361
973	13030	347
974	13045	334
975	13061	321
976	13076	307
977	13091	294
978	13106	281
979	13120	267
980	13134	254
981	13147	240
982	13161	227
983	13176	214
984	13189	200
985	13204	187
986	13218	174
987	13232	160
988	13246	147
989	13261	133
990	13277	120
991	13292	107
992	13307	93
993	13324	80
994	13338	67
995	13352	53
996	13366	40
997	13381	26
998	13395	13
999	13409	0
